gene,S2,gene_set
PTGER2,2.8901400373991906,other
CD40LG,2.8194200160696523,other
LINC02446,2.561452230886552,other
PLEKHG3,2.5590255343792663,other
MGAT4A,2.5477488430460475,other
PXN,2.5228366085265224,other
SORL1,2.521828254178154,other
TSPAN14,2.4934721996308555,other
ABLIM1,2.474986752834623,other
COL6A2,2.455835080355558,other
RELL1,2.432185850340755,other
TRAV12-1,2.4238245794660234,TCR
NSG1,2.423600271433255,other
PRKY,2.419314580153648,other
TRAT1,2.4128873267113047,other
PITPNC1,2.369129311152974,other
TRBV7-6,2.3676552657917513,TCR
TRBV7-2,2.3430705956851035,TCR
TRAV38-1,2.329067960564897,TCR
KLF3,2.310764552837393,other
LINC00892,2.298263169067212,other
TRBV20-1,2.2886199606971034,TCR
TRBV4-2,2.2818987489622837,other
TTC39C,2.2809362416917907,other
IGLV2-14,2.280196129542922,other
SELPLG,2.2671170770676987,other
TRBV2,2.2552703844399886,other
TTC16,2.2512763211728504,other
P2RY8,2.2204132818527005,other
TRBV14,2.2168350993019215,other
RASGRP1,2.2082068827903045,other
TOB1,2.1764264789184145,other
RNF125,2.165903370085303,other
P2RX1,2.16142993266728,other
RASA3,2.1549433014821053,other
SLC2A3,2.1442691973630876,other
GLIPR2,2.1349643789395327,other
RNF157,2.1292522662265183,other
NPDC1,2.1129233212396663,other
CASP1,2.1062424720883066,other
GIMAP7,2.106153846166436,other
IL32,2.0924898954458535,other
TRGV2,2.0770999089350553,other
SERPINB6,2.0659532465188386,other
AAK1,2.065422088498627,other
PTGDS,2.0558730486724563,other
ADCY9,2.039529493159104,other
GLRX,2.033573681786495,other
TRBV7-9,2.0322588375164403,other
TSPAN32,2.0218529038724995,other
TRBV6-5,2.009696738360912,other
RAB27A,2.009343602387912,other
CD3E,1.9954846499266177,TCR
TRBV25-1,1.9916679213307589,other
AC022075.1,1.990026647875249,other
KLRC4,1.9857711974657248,other
ITGB2-AS1,1.9825290934729904,other
RPS4Y1,1.9810377894499405,other
CSGALNACT1,1.970659136035911,other
TRBV4-1,1.9695146763481124,other
GDPD5,1.9686118944809432,other
FUT7,1.966408308196608,other
PDZD4,1.9635945464010067,other
AL450352.1,1.96306380693365,other
MATK,1.9526422459607524,other
AC004832.6,1.9470096309146416,other
LINC01871,1.9440959413576313,other
SYNM,1.9424384933702428,other
RFLNB,1.9387033213323273,other
TRBV9,1.934927282692266,other
ADAMTS10,1.923654838898117,other
BCL9L,1.9188248032368969,other
PLXDC1,1.9184746877265475,other
SAMD3,1.91786879817038,other
CD7,1.9135324367125,other
FLT3LG,1.9127120159768816,other
TRAV14DV4,1.9027703446512143,other
TRAV8-6,1.902766642051255,other
TRAV6,1.8965322116764305,other
TRBV6-2,1.8945136684727493,other
TRAV8-3,1.8917724716061184,other
AL359220.1,1.8906219468388088,other
TRAV13-2,1.8894377725301283,other
TRAV3,1.887752906100557,other
TRAV12-3,1.885492983785911,other
RORA,1.8804700475336904,other
AKR1C3,1.878045739795981,other
LINC01684,1.8765764670898513,other
TRDV1,1.872486566062334,other
TRAV12-2,1.8724200380646665,TCR
TRBV6-1,1.8706900873959669,other
TRBV15,1.868510659592295,other
TRAV25,1.8679313946151077,other
CMTM7,1.8661786247995809,other
FCRL6,1.8658970221217297,other
ZFYVE28,1.865402596600965,other
TRBV13,1.8641361568236403,other
TRBV5-6,1.863799737574397,other
TRBV28,1.8598303477912617,other
TRAV23DV6,1.858736606449417,other
