target,method,n_perturbed_cells,n_control_cells,n_ranked_genes,n_positive_genes,random_auprc_baseline,auroc,auprc,top50_positive_hits,top100_positive_hits
KLF1,PGAA_S1_Wasserstein,1960,5000,2016,16,0.007936507936507936,0.68403125,0.025173555918790568,1,1
KLF1,KS_statistic,1960,5000,2016,16,0.007936507936507936,0.53653125,0.015321963208137383,1,1
KLF1,Welch_t_abs,1960,5000,2016,16,0.007936507936507936,0.42409375000000005,0.007250835808013615,0,0
KLF1,Wilcoxon_neglog10_p,1960,5000,2016,16,0.007936507936507936,0.49621875,0.017264160622352972,1,1
CEBPE,PGAA_S1_Wasserstein,1233,3699,2009,9,0.004479840716774514,0.6441666666666667,0.015399289537916507,1,2
CEBPE,KS_statistic,1233,3699,2009,9,0.004479840716774514,0.4974444444444444,0.005368868663520725,0,0
CEBPE,Welch_t_abs,1233,3699,2009,9,0.004479840716774514,0.5699444444444444,0.00537745483660236,0,0
CEBPE,Wilcoxon_neglog10_p,1233,3699,2009,9,0.004479840716774514,0.4838055555555555,0.005374191133993146,0,0
CEBPA,PGAA_S1_Wasserstein,460,1380,2009,9,0.004479840716774514,0.6649999999999999,0.12439815265944562,1,2
CEBPA,KS_statistic,460,1380,2009,9,0.004479840716774514,0.2492777777777778,0.0031592179788597617,0,0
CEBPA,Welch_t_abs,460,1380,2009,9,0.004479840716774514,0.38116666666666665,0.003802091591870175,0,0
CEBPA,Wilcoxon_neglog10_p,460,1380,2009,9,0.004479840716774514,0.26238888888888884,0.0033775785594426736,0,0
