gene,score,gene_set
HLA-DRA,1.9672565492703116,other
IGKV3-11,1.6297905833924429,other
CD74,1.605169350533949,other
IL32,1.4834554291605933,other
IGHV1-24,1.439868243016741,other
HLA-DQB1,1.3419332436288722,other
IFITM1,1.3210040784604238,other
CD3E,1.275111030125305,TCR
CD79A,1.2145474862955612,BCR
CCL5,1.20406964296065,other
IGHM,1.202853940797202,other
NKG7,1.188151726175739,other
IGHA1,1.1123216277750447,other
NIBAN3,1.1057030067811893,other
GNLY,1.058133513150059,other
IGLV3-25,1.0377888536440985,other
IRF8,0.9773365020099763,other
CD24,0.9584607875990638,BCR
ITGB2,0.949315762237142,other
KLF2,0.9362045067438692,other
LINC01857,0.9299693513627976,other
TRPM4,0.92324443574001,other
TXNIP,0.911577600277448,other
CD3D,0.9093561164121592,TCR
FYB1,0.8537258708971942,other
IGLC6,0.8419945119937384,other
HLA-DMB,0.8268405784457317,other
CST7,0.7974934003278589,other
RALGPS2,0.7935271279440462,other
ID3,0.7912159524202766,other
PLAAT4,0.7605524748022556,other
GZMA,0.7542981224521923,other
CTSW,0.752774535910116,other
ANXA1,0.7452465773571485,other
GZMH,0.7089652891072914,other
AFF3,0.700881115411064,other
IFITM2,0.7000914559971216,other
IGHG3,0.6896012557856834,other
ARL4C,0.6838664773008536,other
SH3BGRL3,0.6834821039921558,other
IL7R,0.6815383886588771,other
IGLC7,0.6806316488061555,other
IGHV1-46,0.6579640649990401,other
S100A4,0.6507975295658639,other
CD7,0.6442533811498518,other
H1FX,0.6405158058491366,other
CD3G,0.6369744775970085,TCR
CD79B,0.633751561834492,BCR
GZMM,0.6309561890777606,other
GIMAP7,0.6286752495870219,other
SLC9A3R1,0.5930723185513931,other
LCK,0.5900608375509598,other
MS4A1,0.5878546992973607,BCR
PAGE2B,0.5771862655945731,other
RPS27,0.5712038222158953,other
IFI30,0.5703086715863379,other
LAT,0.5682782674750745,other
STX7,0.5679702711581026,other
IGKC,0.5632170369358451,other
S100A10,0.5585726250970251,other
ZFP36L2,0.5538342344355536,other
LIME1,0.5531902382592907,other
TYROBP,0.5488530797631653,other
IGLV4-69,0.5466592854689465,other
STMN1,0.5436977766093296,other
LILRA4,0.5405706979324757,other
ATF5,0.5394524939140223,other
RPS4Y1,0.5330632058451572,other
GIMAP4,0.5277855492834951,other
PRF1,0.5265741596038862,other
CRIP1,0.5256099763816139,other
TSC22D3,0.5215416100447757,other
FYN,0.5179883185335099,other
FGFBP2,0.5173524110633834,other
SELPLG,0.5157239962117123,other
CCDC88A,0.5156092613838124,other
ZNF107,0.5080445249207499,other
CD2,0.5063181981021772,other
FCER2,0.5044043322393612,other
HLA-A,0.4998608472088766,other
TTN,0.4987448415940821,other
FCRL5,0.4917231301032461,other
EFHD2,0.4895215473362144,other
ORAI2,0.4841396229164223,other
MT2A,0.4838940060047286,other
LINC00926,0.4806432365368426,other
ITGA4,0.4795029680197767,other
TPT1,0.4789587633601032,other
TCF7,0.4777125056315623,other
MS4A6A,0.4753270166455263,other
GZMB,0.4731912435246184,other
BIN2,0.4722270824766992,other
TUBB,0.4716956491883075,other
LCP2,0.4707861895028772,other
ID2,0.4669772475135421,other
SUN2,0.466651436510091,other
CD247,0.4630261458655892,other
MS4A4E,0.4530540924785076,other
CLEC17A,0.4449917164920002,other
SERPINF1,0.4378846774084772,other
